phi,G_star,G_c,G_star_cc,G_star_cp,G_star_pp
-3.1415927,103458.85625007834,18028.2890625,73090908160.0,0.0,0.0
-3.1241395,82563.0367415631,18020.23046875,58328571904.0,0.0,0.0
-3.106686,65789.59618693605,17996.06640625,46478585856.0,0.0,0.0
-3.0892327,52343.74708070886,17955.82421875,36979453952.0,0.0,0.0
-3.0717795,41580.12897218412,17899.552734375,29375246336.0,0.0,0.0
-3.0543263,32975.68339364213,17827.3203125,23296436224.0,0.0,0.0
-3.036873,26107.19602862823,17739.220703125,18444034048.0,0.0,0.0
-3.0194197,20632.44656987041,17635.3515625,14576270336.0,0.0,0.0
-3.0019662,16275.380810513263,17515.84765625,11498120192.0,0.0,0.0
-2.984513,12813.210508436847,17380.8515625,9052189696.0,0.0,0.0
-2.9670599,10066.600586418353,17230.52734375,7111783424.0,0.0,0.0
-2.9496067,7891.327527542796,17065.05859375,5575011328.0,0.0,0.0
-2.932153,6171.5241974117835,16884.642578125,4360016384.0,0.0,0.0
-2.9146998,4814.390788514259,16689.5078125,3401238016.0,0.0,0.0
-2.8972466,3745.4670654447114,16479.88671875,2646072064.0,0.0,0.0
-2.8797934,2905.2448110151163,16256.037109375,2052477568.0,0.0,0.0
-2.8623402,2246.218550853003,16018.23046875,1586893184.0,0.0,0.0
-2.8448868,1730.4906939431273,15766.7509765625,1222545280.0,0.0,0.0
-2.8274333,1327.896030457481,15501.9111328125,938122944.0,0.0,0.0
-2.8099802,1014.4582450155802,15224.0361328125,716687552.0,0.0,0.0
-2.7925267,771.1306134112684,14933.45703125,544783104.0,0.0,0.0
-2.7750738,582.8385933153421,14630.5400390625,411759840.0,0.0,0.0
-2.7576203,437.63936775320843,14315.638671875,309180480.0,0.0,0.0
-2.740167,326.123084944882,13989.1435546875,230397216.0,0.0,0.0
-2.7227137,240.86467048166764,13651.4560546875,170164432.0,0.0,0.0
-2.7052605,176.02393670867124,13302.9853515625,124356192.0,0.0,0.0
-2.687807,127.01832331364797,12944.150390625,89735040.0,0.0,0.0
-2.670354,90.26021786124085,12575.3974609375,63766424.0,0.0,0.0
-2.6529005,62.94538088509275,12197.1669921875,44469224.0,0.0,0.0
-2.6354473,42.8910487320941,11809.9296875,30301376.0,0.0,0.0
-2.617994,28.400041639769206,11414.150390625,20063868.0,0.0,0.0
-2.6005404,18.15885894913505,11010.3037109375,12828747.0,0.0,0.0
-2.5830872,11.154721250293319,10598.8994140625,7880511.5,0.0,0.0
-2.565634,6.608565008834381,10180.4326171875,4668774.0,0.0,0.0
-2.5481808,3.9259731170403067,9755.408203125,2773594.75,0.0,0.0
-2.5307276,2.6546743426325077,9324.3486328125,1875456.25,0.0,0.0
-2.513274,2.4537433276924108,8887.763671875,1733503.875,0.0,0.0
-2.4958208,3.0682986730828645,8446.2109375,2167670.75,0.0,0.0
-2.4783676,4.309750242653262,8000.21533203125,3044723.0,0.0,0.0
-2.4609144,6.041053734602755,7550.3212890625,4267842.5,0.0,0.0
-2.4434612,8.164168981198735,7097.076171875,5767766.5,0.0,0.0
-2.4260075,10.611393484018159,6641.02001953125,7496665.0,0.0,0.0
-2.4085543,13.337996600103327,6182.7333984375,9422937.0,0.0,0.0
-2.3911011,16.316152078874076,5722.76220703125,11526924.0,0.0,0.0
-2.373648,19.531715009882117,5261.66650390625,13798633.0,0.0,0.0
-2.3561947,22.97984019864487,4800.0087890625,16234641.0,0.0,0.0
-2.3387413,26.663528466752478,5261.65576171875,18837068.0,0.0,0.0
-2.3212879,30.590502683353932,5722.7578125,21611370.0,0.0,0.0
-2.3038347,34.77257504475574,6182.72900390625,24565892.0,0.0,0.0
-2.2863812,39.22519128925588,6641.02197265625,27711546.0,0.0,0.0
-2.2689278,43.96445110778188,7097.07177734375,31059706.0,0.0,0.0
-2.2514749,49.008172586266205,7550.310546875,34622960.0,0.0,0.0
-2.2340214,54.37572517878412,8000.2109375,38414992.0,0.0,0.0
-2.2165682,60.08609049737522,8446.2060546875,42449212.0,0.0,0.0
-2.199115,66.15918720308505,8887.759765625,46739692.0,0.0,0.0
-2.1816614,72.61475843720581,9324.34375,51300380.0,0.0,0.0
-2.1642082,79.47271153692796,9755.404296875,56145340.0,0.0,0.0
-2.146755,86.75184410164643,10180.4287109375,61287852.0,0.0,0.0
-2.1293018,94.47217670710228,10598.8955078125,66742060.0,0.0,0.0
-2.1118486,102.65280703484943,11010.298828125,72521456.0,0.0,0.0
-2.094395,111.3126345989783,11414.1474609375,78639392.0,0.0,0.0
-2.0769417,120.47005500202924,11809.9248046875,85108864.0,0.0,0.0
-2.0594885,130.14297125884767,12197.1630859375,91942520.0,0.0,0.0
-2.0420353,140.34985257703178,12575.388671875,99153408.0,0.0,0.0
-2.024582,151.1079565116887,12944.146484375,106753720.0,0.0,0.0
-2.0071285,162.43466518033125,13302.982421875,114755736.0,0.0,0.0
-1.9896753,174.34682847928443,13651.4521484375,123171360.0,0.0,0.0
-1.9722221,186.86073011212045,13989.138671875,132012096.0,0.0,0.0
-1.9547688,199.99307276504868,14315.6357421875,141289744.0,0.0,0.0
-1.9373156,213.75912099468613,14630.533203125,151015088.0,0.0,0.0
-1.919862,228.17502261834434,14933.45703125,161199536.0,0.0,0.0
-1.9024088,243.25490980713468,15224.033203125,171853072.0,0.0,0.0
-1.8849556,259.01397917454386,15501.908203125,182986432.0,0.0,0.0
-1.8675021,275.46645348252366,15766.751953125,194609664.0,0.0,0.0
-1.8500491,292.6255589937808,16018.2236328125,206732112.0,0.0,0.0
-1.8325958,310.50538258400655,16256.03125,219363728.0,0.0,0.0
-1.8151424,329.118448436894,16479.884765625,232513360.0,0.0,0.0
-1.7976892,348.47703161132523,16689.505859375,246189680.0,0.0,0.0
-1.7802356,368.5935430524428,16884.646484375,260401456.0,0.0,0.0
-1.7627825,389.4786045362904,17065.056640625,275156192.0,0.0,0.0
-1.7453294,411.14376639502626,17230.5234375,290462048.0,0.0,0.0
-1.727876,433.5989256779704,17380.849609375,306326016.0,0.0,0.0
-1.7104226,456.85427385467426,17515.84765625,322755296.0,0.0,0.0
-1.6929694,480.91814528246,17635.3515625,339755776.0,0.0,0.0
-1.675516,505.8003237720969,17739.21875,357334368.0,0.0,0.0
-1.6580627,531.5076942274598,17827.3203125,375495936.0,0.0,0.0
-1.6406095,558.0476398020458,17899.552734375,394245696.0,0.0,0.0
-1.6231562,585.4270001043096,17955.82421875,413588480.0,0.0,0.0
-1.605703,613.6516182434607,17996.064453125,433528416.0,0.0,0.0
-1.5882494,642.7272920332883,18020.23046875,454069600.0,0.0,0.0
-1.5707963,672.657101562368,18028.2890625,475214208.0,0.0,0.0
-1.553343,703.4457575544036,18020.23046875,496965568.0,0.0,0.0
-1.5358897,735.0962042117098,17996.064453125,519325760.0,0.0,0.0
-1.5184366,767.6101627602555,17955.82421875,542296000.0,0.0,0.0
-1.500983,800.9905321069352,17899.552734375,565878336.0,0.0,0.0
-1.4835298,835.2359533891422,17827.3203125,590071808.0,0.0,0.0
-1.4660766,870.3467889702381,17739.21875,614876672.0,0.0,0.0
-1.4486233,906.3226764868613,17635.3515625,640292672.0,0.0,0.0
-1.4311701,943.1609888046382,17515.84765625,666317952.0,0.0,0.0
-1.4137166,980.8596423342387,17380.849609375,692951040.0,0.0,0.0
-1.3962634,1019.4141075336397,17230.525390625,720188736.0,0.0,0.0
-1.37881,1058.8204889967017,17065.0546875,748028288.0,0.0,0.0
-1.3613566,1099.0734418638374,16884.640625,776465920.0,0.0,0.0
-1.3439034,1140.1659000494913,16689.505859375,805496640.0,0.0,0.0
-1.3264503,1182.0902539230651,16479.888671875,835115072.0,0.0,0.0
-1.3089969,1224.8402527165672,16256.03515625,865316800.0,0.0,0.0
-1.2915436,1268.405297301664,16018.224609375,896094336.0,0.0,0.0
-1.2740902,1312.7761474126287,15766.7451171875,927441152.0,0.0,0.0
-1.2566369,1357.9405732859998,15501.908203125,959348608.0,0.0,0.0
-1.2391837,1403.8877040209225,15224.033203125,991809024.0,0.0,0.0
-1.2217305,1450.6031356737637,14933.4580078125,1024812224.0,0.0,0.0
-1.2042772,1498.0755443894668,14630.533203125,1058350208.0,0.0,0.0
-1.186824,1546.2888955892704,14315.6357421875,1092411648.0,0.0,0.0
-1.1693704,1595.228604147861,13989.138671875,1126986240.0,0.0,0.0
-1.1519172,1644.8754648070615,13651.453125,1162060416.0,0.0,0.0
-1.1344639,1695.2135335789517,13302.9775390625,1197622912.0,0.0,0.0
-1.1170107,1746.224329932078,12944.146484375,1233660672.0,0.0,0.0
-1.0995575,1797.8890109716256,12575.3955078125,1270160384.0,0.0,0.0
-1.082104,1850.186559622608,12197.1630859375,1307107200.0,0.0,0.0
-1.0646508,1903.094871719954,11809.9248046875,1344485504.0,0.0,0.0
-1.0471975,1956.5940172787627,11414.1416015625,1382281216.0,0.0,0.0
-1.0297443,2010.6597179537916,11010.3046875,1420477184.0,0.0,0.0
-1.0122911,2065.2675142181174,10598.90234375,1459056128.0,0.0,0.0
-0.9948375,2120.3945771799445,10180.4287109375,1498001920.0,0.0,0.0
-0.97738427,2176.0133672237744,9755.4013671875,1537295104.0,0.0,0.0
-0.9599311,2232.0990624593214,9324.341796875,1576918144.0,0.0,0.0
-0.9424776,2288.6235797260433,8887.759765625,1616851200.0,0.0,0.0
-0.92502457,2345.5584735000375,8446.212890625,1657074176.0,0.0,0.0
-0.9075713,2402.876566529166,8000.2177734375,1697567872.0,0.0,0.0
-0.8901178,2460.5494132895255,7550.31396484375,1738312192.0,0.0,0.0
-0.8726646,2518.543857533509,7097.06591796875,1779283712.0,0.0,0.0
-0.8552112,2576.8314537372116,6641.01904296875,1820462336.0,0.0,0.0
-0.837758,2635.3774150178992,6182.732421875,1861823488.0,0.0,0.0
-0.82030475,2694.1534770333483,5722.7578125,1903347200.0,0.0,0.0
-0.8028514,2753.1266647176326,5261.6591796875,1945010176.0,0.0,0.0
-0.7853981,2812.260560552888,4800.001953125,1986786688.0,0.0,0.0
-0.76794463,2871.524907198402,5261.666015625,2028655360.0,0.0,0.0
-0.7504915,2930.8822000462255,5722.76171875,2070589696.0,0.0,0.0
-0.7330383,2990.299826393794,6182.73291015625,2112566656.0,0.0,0.0
-0.7155848,3049.7413687232424,6641.02587890625,2154560512.0,0.0,0.0
-0.69813156,3109.17077188007,7097.0693359375,2196545792.0,0.0,0.0
-0.6806784,3168.5527054364975,7550.31494140625,2238497536.0,0.0,0.0
-0.66322494,3227.8498459662574,8000.21533203125,2280389376.0,0.0,0.0
-0.6457717,3287.027044223252,8446.2138671875,2322196480.0,0.0,0.0
-0.6283183,3346.044802601041,8887.7705078125,2363890944.0,0.0,0.0
-0.6108651,3404.8665224000806,9324.341796875,2405446912.0,0.0,0.0
-0.59341186,3463.455242557464,9755.40625,2446838272.0,0.0,0.0
-0.5759585,3521.774002010284,10180.431640625,2488038912.0,0.0,0.0
-0.55850524,3579.7825784253787,10598.90234375,2529020416.0,0.0,0.0
-0.541052,3637.4440107398405,11010.3076171875,2569756672.0,0.0,0.0
-0.5235986,3694.7209755274016,11414.1474609375,2610221312.0,0.0,0.0
-0.5061454,3751.5732504548982,11809.9248046875,2650385920.0,0.0,0.0
-0.48869205,3807.965686276234,12197.1669921875,2690225664.0,0.0,0.0
-0.4712388,3863.857698294883,12575.3955078125,2729711872.0,0.0,0.0
-0.45378554,3919.2112383578533,12944.1494140625,2768817664.0,0.0,0.0
-0.43633217,3973.991157219048,13302.9833984375,2807518208.0,0.0,0.0
-0.41887894,4028.156870181942,13651.453125,2845784832.0,0.0,0.0
-0.4014257,4081.6717785469905,13989.1435546875,2883591680.0,0.0,0.0
-0.38397232,4134.5000083413715,14315.63671875,2920913408.0,0.0,0.0
-0.3665191,4186.602424322009,14630.53515625,2957722368.0,0.0,0.0
-0.3490656,4237.943514879443,14933.4609375,2993993472.0,0.0,0.0
-0.33161247,4288.486681314129,15224.03515625,3029700864.0,0.0,0.0
-0.31415924,4338.196049653245,15501.91015625,3064819200.0,0.0,0.0
-0.29670575,4387.038282467503,15766.7509765625,3099324928.0,0.0,0.0
-0.27925262,4434.974244513826,16018.2255859375,3133190400.0,0.0,0.0
-0.26179916,4481.972772543098,16256.037109375,3166393600.0,0.0,0.0
-0.2443459,4527.997630219133,16479.88671875,3198908928.0,0.0,0.0
-0.22689277,4573.019466109624,16689.5078125,3230715648.0,0.0,0.0
-0.2094393,4617.002043878389,16884.64453125,3261788160.0,0.0,0.0
-0.19198605,4659.912750822861,17065.05859375,3292103424.0,0.0,0.0
-0.17453292,4701.721510784012,17230.525390625,3321640192.0,0.0,0.0
-0.15707944,4742.398609966169,17380.8515625,3350377472.0,0.0,0.0
-0.1396262,4781.913609846939,17515.84765625,3378293760.0,0.0,0.0
-0.12217283,4820.237883720738,17635.353515625,3405368832.0,0.0,0.0
-0.104719594,4857.3406307018095,17739.220703125,3431580928.0,0.0,0.0
-0.08726635,4893.196485354827,17827.3203125,3456912128.0,0.0,0.0
-0.06981298,4927.7789951543755,17899.552734375,3481343744.0,0.0,0.0
-0.052359737,4961.061707575042,17955.82421875,3504857088.0,0.0,0.0
-0.034906495,4993.020344271585,17996.06640625,3527435008.0,0.0,0.0
-0.017453132,5023.630989262121,18020.23046875,3549060608.0,0.0,0.0
1.1175871e-07,5052.8693642014105,18028.2890625,3569716736.0,0.0,0.0
0.017453475,5080.71735092136,18020.23046875,3589390592.0,0.0,0.0
0.03490672,5107.150671076728,17996.064453125,3608065024.0,0.0,0.0
0.05236008,5132.150481772699,17955.822265625,3625726720.0,0.0,0.0
0.069813326,5155.700839021352,17899.552734375,3642364416.0,0.0,0.0
0.08726657,5177.780001020978,17827.3203125,3657962752.0,0.0,0.0
0.10471994,5198.373110873741,17739.216796875,3672511232.0,0.0,0.0
0.122173175,5217.467485861979,17635.3515625,3686000896.0,0.0,0.0
0.13962641,5235.044645454236,17515.845703125,3698418688.0,0.0,0.0
0.15707979,5251.094081113021,17380.849609375,3709757184.0,0.0,0.0
0.17453314,5265.603834847394,17230.5234375,3720007936.0,0.0,0.0
0.1919864,5278.561586303051,17065.0546875,3729162240.0,0.0,0.0
0.20943975,5289.962624756288,16884.640625,3737216768.0,0.0,0.0
0.226893,5299.791006219187,16689.505859375,3744160256.0,0.0,0.0
0.24434625,5308.044194148212,16479.8828125,3749990912.0,0.0,0.0
0.2617996,5314.718927273109,16256.03125,3754706432.0,0.0,0.0
0.27925286,5319.805784146471,16018.2236328125,3758300160.0,0.0,0.0
0.29670608,5323.303315314848,15766.7470703125,3760771072.0,0.0,0.0
0.31415945,5325.210071324794,15501.908203125,3762118144.0,0.0,0.0
0.3316127,5325.522790906052,15224.0322265625,3762339072.0,0.0,0.0
0.34906608,5324.246184782328,14933.4541015625,3761437184.0,0.0,0.0
0.3665193,5321.377354046725,14630.5322265625,3759410432.0,0.0,0.0
0.38397256,5316.9202846962235,14315.6328125,3756261632.0,0.0,0.0
0.40142593,5310.877513274357,13989.1376953125,3751992576.0,0.0,0.0
0.41887927,5303.259910681979,13651.44921875,3746610944.0,0.0,0.0
0.43633252,5294.066752192368,13302.9765625,3740116224.0,0.0,0.0
0.45378578,5283.309995796462,12944.14453125,3732516864.0,0.0,0.0
0.47123912,5270.9972511248625,12575.388671875,3723818240.0,0.0,0.0
0.48869237,5257.139389078421,12197.1611328125,3714028032.0,0.0,0.0
0.5061456,5241.7458311045475,11809.9228515625,3703152896.0,0.0,0.0
0.52359897,5224.827448104095,11414.140625,3691200512.0,0.0,0.0
0.5410522,5206.402358245157,11010.302734375,3678183680.0,0.0,0.0
0.5585056,5186.482881882034,10598.8955078125,3664111104.0,0.0,0.0
0.57595885,5165.0835135492,10180.42578125,3648993024.0,0.0,0.0
0.5934121,5142.220197234576,9755.4013671875,3632840704.0,0.0,0.0
0.6108654,5117.913587649784,9324.3369140625,3615668736.0,0.0,0.0
0.6283188,5092.1799911461085,8887.759765625,3597488640.0,0.0,0.0
0.6457719,5065.043686068792,8446.208984375,3578317568.0,0.0,0.0
0.6632253,5036.518079862221,8000.20849609375,3558164992.0,0.0,0.0
0.68067867,5006.632523958705,7550.31005859375,3537051648.0,0.0,0.0
0.6981319,4975.406585979782,7097.0634765625,3514991360.0,0.0,0.0
0.7155851,4942.862370090524,6641.01953125,3491999744.0,0.0,0.0
0.7330385,4909.025966452981,6182.72802734375,3468095232.0,0.0,0.0
0.75049174,4873.924914682655,5722.7548828125,3443297280.0,0.0,0.0
0.7679451,4837.580956581254,5261.65478515625,3417621248.0,0.0,0.0
0.7853985,4800.026704851342,4800.0078125,3391090176.0,0.0,0.0
0.8028516,4761.285350748078,5261.66455078125,3363720448.0,0.0,0.0
0.820305,4721.387695157216,5722.7646484375,3335533824.0,0.0,0.0
0.8377583,4680.36417660115,6182.7392578125,3306551808.0,0.0,0.0
0.85521156,4638.244146512188,6641.02685546875,3276795136.0,0.0,0.0
0.8726648,4595.057681049363,7097.072265625,3246285056.0,0.0,0.0
0.8901182,4550.8366681885145,7550.32177734375,3215044096.0,0.0,0.0
0.90757143,4505.610096998589,8000.2177734375,3183092736.0,0.0,0.0
0.9250248,4459.417102722666,8446.2177734375,3150458624.0,0.0,0.0
0.942478,4412.286312066327,8887.7705078125,3117161984.0,0.0,0.0
0.95993125,4364.251424822225,9324.3447265625,3083226624.0,0.0,0.0
0.9773846,4315.347227873093,9755.4091796875,3048677120.0,0.0,0.0
0.9948379,4265.607058648222,10180.43359375,3013537024.0,0.0,0.0
1.0122911,4215.069327663964,10598.90234375,2977833472.0,0.0,0.0
1.0297445,4163.764473442713,11010.310546875,2941587968.0,0.0,0.0
1.0471978,4111.731631227546,11414.1494140625,2904828160.0,0.0,0.0
1.0646511,4059.004500811115,11809.9306640625,2867577856.0,0.0,0.0
1.0821043,4005.6196808929635,12197.1689453125,2829862912.0,0.0,0.0
1.0995578,3951.6134078092746,12575.3994140625,2791708928.0,0.0,0.0
1.117011,3897.0215555328696,12944.1513671875,2753141248.0,0.0,0.0
1.1344643,3841.880360399931,13302.984375,2714185472.0,0.0,0.0
1.1519175,3786.230044743622,13651.4560546875,2674870016.0,0.0,0.0
1.1693708,3730.1032212665077,13989.1435546875,2635217920.0,0.0,0.0
1.1868242,3673.5364886681323,14315.6396484375,2595255040.0,0.0,0.0
1.2042775,3616.568619828212,14630.5400390625,2555008768.0,0.0,0.0
1.2217307,3559.235851082929,14933.4609375,2514504704.0,0.0,0.0
1.239184,3501.575143495191,15224.037109375,2473768960.0,0.0,0.0
1.2566373,3443.620559221009,15501.9140625,2432825600.0,0.0,0.0
1.2740906,3385.411233503461,15766.7529296875,2391702272.0,0.0,0.0
1.2915438,3326.9823155886447,16018.2275390625,2350423808.0,0.0,0.0
1.3089972,3268.369317086019,16256.037109375,2309015296.0,0.0,0.0
1.3264505,3209.607749605043,16479.888671875,2267501824.0,0.0,0.0
1.3439038,3150.7338494818996,16689.509765625,2225908992.0,0.0,0.0
1.3613571,3091.78131650924,16884.646484375,2184260608.0,0.0,0.0
1.3788103,3032.787836476693,17065.05859375,2142583296.0,0.0,0.0
1.3962637,2973.783847906653,17230.52734375,2100898560.0,0.0,0.0
1.413717,2914.806311862027,17380.853515625,2059232512.0,0.0,0.0
1.4311703,2855.8885657721025,17515.849609375,2017608704.0,0.0,0.0
1.4486235,2797.063222339445,17635.353515625,1976050176.0,0.0,0.0
1.4660769,2738.3628942666182,17739.220703125,1934579968.0,0.0,0.0
1.4835302,2679.8194695294633,17827.322265625,1893220608.0,0.0,0.0
1.5009835,2621.4653796488647,17899.552734375,1851995008.0,0.0,0.0
1.5184367,2563.3314255105774,17955.82421875,1810924928.0,0.0,0.0
1.53589,2505.447320910271,17996.06640625,1770031360.0,0.0,0.0
1.5533433,2447.844229097064,18020.23046875,1729336320.0,0.0,0.0
1.5707966,2390.550052049816,18028.2890625,1688859520.0,0.0,0.0
1.5882499,2333.595953017645,18020.23046875,1648622976.0,0.0,0.0
1.6057031,2277.006753890836,17996.064453125,1608644224.0,0.0,0.0
1.6231565,2220.811806101698,17955.822265625,1568944000.0,0.0,0.0
1.6406097,2165.038286902367,17899.55078125,1529541504.0,0.0,0.0
1.658063,2109.709568729682,17827.3203125,1490453248.0,0.0,0.0
1.6755164,2054.8528288357793,17739.216796875,1451698432.0,0.0,0.0
1.6929697,2000.4919832025403,17635.349609375,1413293952.0,0.0,0.0
1.7104229,1946.6513101752073,17515.845703125,1375256960.0,0.0,0.0
1.7278763,1893.3521891921284,17380.84765625,1337602560.0,0.0,0.0
1.7453295,1840.6176303267796,17230.5234375,1300347008.0,0.0,0.0
1.7627828,1788.4673823823807,17065.052734375,1263504256.0,0.0,0.0
1.7802361,1736.9228247972796,16884.640625,1227089408.0,0.0,0.0
1.7976894,1686.0033440113343,16689.505859375,1191116160.0,0.0,0.0
1.8151426,1635.7283264644025,16479.8828125,1155598208.0,0.0,0.0
1.8325961,1586.112991417681,16256.0302734375,1120546304.0,0.0,0.0
1.8500493,1537.176544129347,16018.2216796875,1085974016.0,0.0,0.0
1.8675026,1488.932210862107,15766.744140625,1051890688.0,0.0,0.0
1.8849559,1441.3969321031266,15501.9072265625,1018308288.0,0.0,0.0
1.9024092,1394.5824846616654,15224.02734375,985235136.0,0.0,0.0
1.9198625,1348.5031818905154,14933.4521484375,952681344.0,0.0,0.0
1.9373157,1303.1694417363294,14630.5322265625,920654272.0,0.0,0.0
1.9547691,1258.5915915549197,14315.6298828125,889161216.0,0.0,0.0
1.9722223,1214.7808646105027,13989.1376953125,858210112.0,0.0,0.0
1.9896756,1171.7438740344317,13651.4462890625,827805632.0,0.0,0.0
2.007129,1129.4876859122628,13302.9765625,797952768.0,0.0,0.0
2.0245821,1088.0199098745938,12944.14453125,768656896.0,0.0,0.0
2.0420356,1047.3425389199156,12575.38671875,739919424.0,0.0,0.0
2.0594888,1007.4620049979,12197.1611328125,711744896.0,0.0,0.0
2.0769422,968.3782175177066,11809.91796875,684133248.0,0.0,0.0
2.0943954,930.0934412503472,11414.1396484375,657086080.0,0.0,0.0
2.1118486,892.6064985148955,11010.3037109375,630602560.0,0.0,0.0
2.129302,855.915668085383,10598.892578125,604681472.0,0.0,0.0
2.1467552,820.0164204197869,10180.42578125,579319616.0,0.0,0.0
2.1642087,784.9057660203719,9755.3974609375,554514880.0,0.0,0.0
2.1816618,750.5770011649441,9324.3359375,530262528.0,0.0,0.0
2.1991153,717.0230597679481,8887.7578125,506557568.0,0.0,0.0
2.2165685,684.2344297911358,8446.2041015625,483393280.0,0.0,0.0
2.2340217,652.2019615596209,8000.20849609375,460763200.0,0.0,0.0
2.251475,620.9146935817081,7550.30859375,438659584.0,0.0,0.0
2.2689283,590.3594448901109,7097.06396484375,417073120.0,0.0,0.0
2.2863817,560.5260693106981,6641.01318359375,395996640.0,0.0,0.0
2.303835,531.4012046945021,6182.7265625,375420704.0,0.0,0.0
2.321288,502.97144359713536,5722.75537109375,355335840.0,0.0,0.0
2.3387415,475.22858754753645,5261.6533203125,335736256.0,0.0,0.0
2.3561947,448.1628074395157,4800.00439453125,316615008.0,0.0,0.0
2.3736482,421.7693019585289,5261.66845703125,297968704.0,0.0,0.0
2.3911014,396.0506076481089,5722.76416015625,279799136.0,0.0,0.0
2.4085548,371.0148550361867,6182.74169921875,262112048.0,0.0,0.0
2.426008,346.681000256128,6641.0283203125,244920832.0,0.0,0.0
2.4434614,323.0858005414484,7097.078125,228251456.0,0.0,0.0
2.4609146,300.28327068077056,7550.3232421875,212142080.0,0.0,0.0
2.4783678,278.3576601557198,8000.2177734375,196652224.0,0.0,0.0
2.4958212,257.4256726165153,8446.21875,181864336.0,0.0,0.0
2.5132744,237.65483317487286,8887.771484375,167896768.0,0.0,0.0
2.5307279,219.2695806380255,9324.3505859375,154908080.0,0.0,0.0
2.548181,202.57880712422266,9755.4111328125,143116496.0,0.0,0.0
2.5656343,187.99200588004166,10180.4326171875,132811312.0,0.0,0.0
2.5830877,176.0504911487803,10598.90625,124374952.0,0.0,0.0
2.6005409,167.46904730935717,11010.310546875,118312392.0,0.0,0.0
2.6179943,163.1788236392681,11414.1513671875,115281464.0,0.0,0.0
2.6354475,164.39268428212125,11809.9306640625,116139024.0,0.0,0.0
2.6529007,172.67780548240842,12197.16796875,121992240.0,0.0,0.0
2.6703541,190.05711467910731,12575.3994140625,134270256.0,0.0,0.0
2.6878073,219.12868923340423,12944.1513671875,154808544.0,0.0,0.0
2.7052608,263.2209498622526,13302.986328125,185958544.0,0.0,0.0
2.722714,326.5876574224574,13651.4580078125,230725424.0,0.0,0.0
2.7401674,414.6518513963167,13989.1494140625,292940416.0,0.0,0.0
2.7576206,534.3062717662882,14315.6396484375,377473056.0,0.0,0.0
2.7750738,694.3035564125495,14630.537109375,490506848.0,0.0,0.0
2.7925272,905.7255922574069,14933.462890625,639870848.0,0.0,0.0
2.8099804,1182.5837928218766,15224.037109375,835463744.0,0.0,0.0
2.8274338,1542.5674238632826,15501.916015625,1089782528.0,0.0,0.0
2.844887,2007.9486964622652,15766.751953125,1418561920.0,0.0,0.0
2.8623405,2606.7713641450023,16018.23046875,1841614080.0,0.0,0.0
2.8797936,3374.2113067160385,16256.0380859375,2383789824.0,0.0,0.0
2.8972468,4354.4208691791555,16479.888671875,3076281600.0,0.0,0.0
2.9147003,5602.7035854533915,16689.509765625,3958159872.0,0.0,0.0
2.9321535,7188.127361756872,16884.646484375,5078219264.0,0.0,0.0
2.949607,9197.057519384653,17065.060546875,6497474560.0,0.0,0.0
2.96706,11737.057273935441,17230.52734375,8291916288.0,0.0,0.0
2.9845133,14942.117000986163,17380.8515625,10556205056.0,0.0,0.0
3.0019667,18979.040527980844,17515.849609375,13408183296.0,0.0,0.0
3.01942,24054.582967731916,17635.353515625,16993917952.0,0.0,0.0
3.0368733,30425.720820821203,17739.220703125,21494956032.0,0.0,0.0
3.0543265,38410.23515994549,17827.322265625,27135801344.0,0.0,0.0
3.07178,48401.84537335998,17899.552734375,34194606080.0,0.0,0.0
3.0892332,60886.63437134328,17955.82421875,43014774784.0,0.0,0.0
3.1066864,76464.62370076074,17996.06640625,54020206592.0,0.0,0.0
3.1241398,95876.11011420221,18020.23046875,67733901312.0,0.0,0.0
3.1415927,120030.92133836269,18028.2890625,84798627840.0,0.0,0.0
